Produit,SKU,Client,Logo blanc,Catégorie,Catégorie client,Contenance,Mockup-appli,ADV,Etuis/étiquettes (dernière version validée),Dosage pour,Allégations complètes,Allégations selectionnées,Composition,Liste d'ingrédients,Conseils d'utilisation,Précaution d'emploi,Poids net,Attestation de déclaration,ACL,Mockup,MOCKUP PN - v2 (old),MOCKUP PN - v1 (old),Statut Mockup,Photos du produit
CURCUMA,CURCUMA120C,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Douleur et inflammation,Douleur et inflammation,120 gélules,mockup-curcuma-120g.png (https://dl.airtable.com/.attachments/6533f72b46f8136aafd94cec587384c3/520099e1/mockup-curcuma-120g.png),CURCUMA C3 ADV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/4dbb536a45d5e85a9ae1bb3ffd5a9048/79c45945/CURCUMAC3ADVAOUT2021300DPI.pdf),etui curcuma 120g 21-2.pdf (https://dl.airtable.com/.attachments/3cb7c9776711bcc83b79955ca4ba5dd9/9074a8e5/etuicurcuma120g21-2.pdf),,,"- Antioxydant
- Santé des articulations",,,,,"62,16 ",,3 760293 913926,"mockup curcuma 120g.png (https://dl.airtable.com/.attachments/8f273fca599a3ae9836b5b8b41fabb62/49c3252a/mockupcurcuma120g.png),mockup curcuma 120g dos.png (https://dl.airtable.com/.attachments/40054d09d8434a553bc904d27ba1bdcd/b62ff35e/mockupcurcuma120gdos.png)",,,Fait,
CURCUMA BIO,CURCU45,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Bio,Vital organic,45 gélules,curcuma45.png (https://dl.airtable.com/.attachments/8233cab9eb2764f2472bfd6317e1e9e3/d1319645/curcuma45.png),VITAL ORGANIC AV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/6fa7ae38f997fcb36c873bc6964c6fb4/7d4b2f9b/VITALORGANICAVAOUT2021300DPI.pdf),,2 gélules,,"- Aide à maintenir la santé des articulations, aide à maintenir une bonne mobilité.","'- 440 mg d’extraits de rhizomes de curcuma BIO dont curcuminoïdes 140 mg ;
- 15,8 mg d’extrait de fruits de poivre noir BIO titré à 95% de pipérine (15 mg).",extraits titrés de rhizomes de curcuma BIO (Curcuma longa) ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO ; extrait de fruits de poivre noir BIO (Piper nigrum).,prendre 1 à 2 gélules par jour.," Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes sous traitement anticoagulant. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.
","24,48 g",,3760293913735,curcuma45.png (https://dl.airtable.com/.attachments/29f4bd726e85fb99c267062bd760cc72/ba50499a/curcuma45.png),,,Fait,
CURCUMA BIO,CURCU150,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Bio,Vital organic,150 gélules,,VITAL ORGANIC AV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/6fa7ae38f997fcb36c873bc6964c6fb4/7d4b2f9b/VITALORGANICAVAOUT2021300DPI.pdf),,2 gélules,,"- Aide à maintenir la santé des articulations, aide à maintenir une bonne mobilité.","'- 440 mg d’extraits de rhizomes de curcuma BIO dont curcuminoïdes 140 mg ;
- 15,8 mg d’extrait de fruits de poivre noir BIO titré à 95% de pipérine (15 mg).",extraits titrés de rhizomes de curcuma BIO (Curcuma longa) ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO ; extrait de fruits de poivre noir BIO (Piper nigrum).,prendre 1 à 2 gélules par jour.,"Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes sous traitement anticoagulant. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","81,60",,3760293913728,,,,Fait,
CYSTALGIC ,CYSTI,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Confort urinaire,Confort urinaire,15 gélules,mockup-cystalgic-15g.png (https://dl.airtable.com/.attachments/9ce83b3283a6a770a28449f5d97582d1/ab48512d/mockup-cystalgic-15g.png),CYSTALGIC ADV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/94ab549abb336612eca1bf72b398f7db/8d51276e/CYSTALGICADVAOUT2021300DPI.pdf),Cystalgic15-20_2.pdf (https://dl.airtable.com/.attachments/bdea53abe2f72126642fb25c4015d606/2b7abfd2/Cystalgic15-20_2.pdf),3 gélules,,NA,"- Extrait de racines de raifort 150 mg
- Extrait de feuilles de busserole titré à 15 % d’arbutine 150 mg
- Extrait de racines d'hydraste du Canada titré à 5 % de berbérine 150 mg
- Extrait de fleurs d'hibiscus titré à 10 % de polyphénols 150 mg 
- Extrait de feuilles d'ortie 150 mg
- Extrait de parties aériennes de prêle des champs 150 mg
- Extrait de sommités fleuries de verge d'or 150 mg
- Extrait de racines d’Echinacea purpurea : 75 mg
- Extrait de racines d’Echinacea angustifolia : 75 mg",Gélule d’origine végétale : Pullulan ; Extrait de racines de raifort (Armoracia rusticana) ; Extrait de feuilles de busserole (Arctostaphylos uva-ursi) ; Extrait de racines d’hydraste du Canada (Hydrastis canadensis) ; Extrait de fleurs d’hibiscus (Hibiscus sabdariffa) ; Extrait de feuilles d’ortie (Urtica dioica) ; Extrait de parties aériennes de prêle des champs (Equisetum arvense) ; Extrait de sommités fleuries de verge d’or (Solidago virgaurea) ; Extrait de racines d’Echinacea purpurea ; Extrait de racines d’Echinacea angustifolia ; Anti-agglomérant : extrait de riz ; Agent de Conseil d’utilisation : charge : gomme d’acacia.,"Prendre 1 gélule matin, midi et soir, soit 3 gélules par jour.","Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux adolescents de moins de 18 ans et aux personnes souffrant d’insuffisance rénale. Ne pas consommer plus d’une semaine sans interruption. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.",8.4,"""Déclarations Pharmanature_liste 3_Artromax,Cystalgic_AR.pdf (https://dl.airtable.com/.attachments/c63a3265d54d030f9c823f4088a6e855/df502358/DclarationsPharmanature_liste3_ArtromaxCystalgic_AR.pdf)""",3401520895829,"mockup cystalgic 15g.png (https://dl.airtable.com/.attachments/83fc11d1f6a154f8620bafe0ff0e7531/13d15643/mockupcystalgic15g.png),mockup cystalgic 15g dos.png (https://dl.airtable.com/.attachments/05918a9daed8ef09285dbbfae4337f8b/b0412c39/mockupcystalgic15gdos.png)",Mockup2-800x800-Prescription-Nature-face-Cystalgic.jpg (https://dl.airtable.com/.attachments/69b418fcb4cb837f41321b2f71144a7d/a11edcba/Mockup2-800x800-Prescription-Nature-face-Cystalgic.jpg),"Cystalgic-mockup-face-amazon.png (https://dl.airtable.com/.attachments/c071ed8246d565841857ed53f6b1252c/a176d5ab/Cystalgic-mockup-face-amazon.png),Cystalgic-mockup-back-amazon.png (https://dl.airtable.com/.attachments/85aa0dd0ea8a721aa4d82f8d54e8ab2d/ebffaf07/Cystalgic-mockup-back-amazon.png)",Fait,"Cystalgic-2.jpeg (https://dl.airtable.com/.attachments/81e1954d3f6387c6c0414d318f46b8df/23b8ddb4/Cystalgic-2.jpeg),Cystalgic-5.jpeg (https://dl.airtable.com/.attachments/1ebbd3bca50c7674a6d0ec8cc54f708f/3d5f1999/Cystalgic-5.jpeg),Cystalgic-4.jpeg (https://dl.airtable.com/.attachments/0ae2113fad3473724ad071c751106be5/440fc373/Cystalgic-4.jpeg),Cystalgic-1.jpeg (https://dl.airtable.com/.attachments/e1547e80c7799e021c4a8c91cb21717c/86028bde/Cystalgic-1.jpeg),Cystalgic-6.jpeg (https://dl.airtable.com/.attachments/0315967e62553bf8a867bd9b809829a5/aac2f41b/Cystalgic-6.jpeg),Cystalgic-3.jpeg (https://dl.airtable.com/.attachments/86a6d8e506bc36f84641672b240eb15d/2ceaf7e7/Cystalgic-3.jpeg)"
DRAINEUR,DRAIN,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Minceur,Prescription minceur,500 mL,Mockup2000x2000-amazon-face-draineur.png (https://dl.airtable.com/.attachments/26738b0c29a4ce8f9b24f54fe3cab45e/c3792dbc/Mockup2000x2000-amazon-face-draineur.png),,GM - pack Draineur-3.pdf (https://dl.airtable.com/.attachments/65c068192168a1c2cca5a47ca5e8162b/2ce20e0d/GM-packDraineur-3.pdf),30 ml,,,"- CactiNea™ : extrait de fruits de figuier de barbarie 2000 mg
- ElimReal® : association de 5 plantes et de caféine naturelle 400 mg
dont extrait de fruits de carvi 200 mg
dont extrait de sommités fleuries de reine des prés 125 mg
dont caféine naturelle 48 mg
dont extrait de guarana 12,5 mg
dont extrait de parties aériennes de verge d'or 7,5 mg
dont extrait de pissenlit 2,5 mg
- Extrait de fleurs d'hibiscus titré à 10% de polyphénols 375 mg
- BerryExtract™ : extrait de fruits de framboisier titré à 60% de cétone 300 mg
- Rheolex LM : glucomannane de konjac 200 mg
- Picolinate de chrome 1,6 mg
dont Chrome élément 200µg","Eau ; Glycérine ; CactiNea™ : extrait de fruits de  figuier de barbarie (Opuntia  ficus-indica) ; ElimReal® : extrait sec de fruits de carvi (Carum carvi), extrait sec de sommités  fleuries de reine des prés (Filipendula ulmaria), caféine, extrait de fruits de graines de guarana (Paullinia cupana), extrait de parties aériennes de verge d’or (Solidago virgaurea), extrait de pissenlit (Taraxacum officinalis) ; Extrait de  fleurs d’Hibiscus sabdarifa ; BerryExtract™ : extrait de fruits de framboisier (Rubus idaeus) ; Rheolex LM: glucomannane de konjac ; Arôme: fruit rouge ; Picolinate de chrome ; Conservateurs : acide citrique, benzoate de sodium, sorbate de potassium.",1 dose de 30 mL à diluer dans un verre d'eau chaque jours. Agiter avant utilisation,"Ce produit est un complément alimentaire à base d’extraits de plantes et de chrome. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Contient de la caféine (50 mg/j). Déconseillé aux femmes enceintes ou qui allaitent et aux adolescents de moins de 18 ans. Déconseillé en cas de prise de traitement anticoagulant ou d’allergie aux dérivés salicylés. A conserver à l’abri de la chaleur et de l’humidité.",500 mL,Attestation DRAINEUR.pdf (https://dl.airtable.com/.attachments/bcf5bb755fb8de909259f3263b81c31d/20f4ebd5/AttestationDRAINEUR.pdf),3760293910888,Mockup2000x2000-amazon-face-draineur.jpg (https://dl.airtable.com/.attachments/d16844a87fdfc1e6d1c6effb7ca20e51/c92ef88d/Mockup2000x2000-amazon-face-draineur.jpg),,Mockup2000x2000-amazon-face-draineur.jpg (https://dl.airtable.com/.attachments/92baee05570af13d98e3e187d6381dec/77343d20/Mockup2000x2000-amazon-face-draineur.jpg),Fait,
DYNAMIX,DYNA,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Toniques et Multivitamines Vitalité,Toniques et Multivitamines Vitalité,30 gélules,mockup-dynamix-30g.png (https://dl.airtable.com/.attachments/8a2ef6d381974a1758512bb65a8fc849/9006fa7f/mockup-dynamix-30g.png),DYNAMIX ADV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/bc27f5b618d6e64bca819ef68af8c60d/54a763c8/DYNAMIXADVAOUT2021300DPI.pdf),Dynamix20_1.pdf (https://dl.airtable.com/.attachments/2c41be22c19b30fe73b31bfa98b485e8/b23c9c9c/Dynamix20_1.pdf),2 gélules,"Ginseng
Améliore les performances physiques
Tonique pour la revigoration et l'enrichissement en fatigue et la débilité
Tonique pour la revigoration et l'enrichissement pendant la convalescence
Aide à maintenir l'endurance, les sensations d'énergie et de vitalité optimales
Aide à soutenir la vitalité du corps
Contribue à la résistance du corps au stress temporaire
Aide à vous faire sentir plus énergique
Aide à maintenir une endurance optimale, des sensations d'énergie et de vitalité, ainsi qu'un bien-être physique et mental
Aide à réduire la fatigue, le stress et la convalescence

Eleuthérocoque
Tonique pour le soutien des capacités mentales et physiques en cas de faiblesse, d'épuisement et de fatigue, et pendant la convalescence 
Aide en cas de récupération, de rééducation 
Contribue à plus d'énergie mentale et physique
Aide à renforcer le corps 
Contribue au bien-être physique
Soutient la vigilance énergétique
Fait en sorte que vous vous sentiez plus énergique
","- Aide à soutenir la vitalité du corps
- Contribue au bien-être physique","- Extrait de baies de goji titré à 40 % de polysacccharides 600 mg
- Extrait de racines de ginseng américain titré à 10 % de ginsénosides 100 mg
- Extrait de racines d’éleuthérocoque titré à 0,8 % d’eleuthérosides 100 mg
- Extrait de racines de maca 100 mg",Extrait de baies de goji (Lycium barbarum) ; Gélule végétale : Pullulan ; Extrait de racines de ginseng américain1 (Panax quinquefolius) ; Extrait de racines de ginseng asiatique (Panax ginseng) ; Extrait sec de racines d’eleuthérocoque (Eleutherococcus senticocus) ; Extrait de racines de maca (Lepidium meyenii) ; Agent de charge : gomme d’acacia ; Anti-agglomérant : extrait de riz.,Prendre 1 à 2 gélules par jour le matin ou avant une activité physique.,"Ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes sous traitement antidiabétique. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.",18.78,1810_Pharmanature_Dynamix.pdf (https://dl.airtable.com/.attachments/5f3daf7020ea638cc4f0495ba07bc092/cdd8ce18/1810_Pharmanature_Dynamix.pdf),3401598121134,"mockup dynamix 30g.png (https://dl.airtable.com/.attachments/94ad78291c17fc3e857e9c7f7d916b41/e241c845/mockupdynamix30g.png),mockup dynamix 30g dos.png (https://dl.airtable.com/.attachments/0280ddfa0406117830b09dfe06ede303/f908e551/mockupdynamix30gdos.png)",Mockup2-800x800-Prescription-Nature-dynamix-face.jpg (https://dl.airtable.com/.attachments/f424599a7c2b712ca943904c5631dfbd/6d2bacc3/Mockup2-800x800-Prescription-Nature-dynamix-face.jpg),"Mockup-DYNAMIX-face-amazon.png (https://dl.airtable.com/.attachments/e29547520264ff169fa906f1b4ffb3c9/8b2a3a63/Mockup-DYNAMIX-face-amazon.png),Mockup-DYNAMIX-back-amazon.png (https://dl.airtable.com/.attachments/5f3fb5724ec26b0ed5ce23b5da6c718c/c95bfd83/Mockup-DYNAMIX-back-amazon.png)",Fait,"Dynamix-1.jpeg (https://dl.airtable.com/.attachments/bed7e6c94b4371ea6be043f0d13b762e/69b03ad7/Dynamix-1.jpeg),Dynamix-2.jpeg (https://dl.airtable.com/.attachments/2bc97c99bc855cefb8d01ab639e1bc8d/7dcf17f7/Dynamix-2.jpeg),Dynamix-3.jpeg (https://dl.airtable.com/.attachments/c8aa98c10cc9e42fff0103528b3eeb99/d47de2c1/Dynamix-3.jpeg),Dynamix-4.jpeg (https://dl.airtable.com/.attachments/f6b8ee319c7b609484df0dc4454e77a7/1c5026f0/Dynamix-4.jpeg),Dynamix-5.jpeg (https://dl.airtable.com/.attachments/64b4b0a563c39359f30d74b9da85a24d/44257392/Dynamix-5.jpeg),Dynamix-6.jpeg (https://dl.airtable.com/.attachments/986be2e7dee60106be34626a2adfbe85/74ef7a90/Dynamix-6.jpeg)"
ENFANT 4MD,ENFANT4MD,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Probiotiques,Prescription biotic,30 gélules,mockup-enfant-4md-30g.png (https://dl.airtable.com/.attachments/295ee7b8bec70ad2a4c7d644bf0a8020/43b30b56/mockup-enfant-4md-30g.png),BIOTIC PRESCRIPTION ADV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/45a8fb0b2f244a8918a9dacd5538d1bb/9985f48f/BIOTICPRESCRIPTIONADVAOUT2021300DPI.pdf),ENFANT30-19_1.pdf (https://dl.airtable.com/.attachments/4ac46574ffa9200da37595813850b72e/757ea6bb/ENFANT30-19_1.pdf),1 gélule,,"VITAMINE D3 :
Nécessaire à une croissance et un développement osseux normaux des enfants
Contribue au fonctionnement normal du système immunitaire des enfants
Contribue au maintien d'une dentiton normale","'- Bifidobactérium breve BR03
- Bifidobactérium longum BL03
- Streptococcus thermophilus Y08
- Lactobacillus rhamnosus LR06
4x10^9 Cellules
- Vitamine D3 5 µg 100%

1 cellule = 1 Unité Formant Colonie (UFC)",Agent de charge : Gomme d’acacia ; Gélule végétale : Pullulan ; Bifidobactérium breve BR03 ; Bifidobactérium longum BL03 ; Streptococcus thermophilus Y08 ; Lactobacillus rhamnosus LR06 ; Anti-agglomérant : Extrait de riz ; Vitamine D3.,"Ouvrir et verser le contenu d’une gélule dans un verre d’eau, une fois par jour.","Ce produit est un complément alimentaire. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas être utilisé comme substitut d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 6 ans. À conserver dans un endroit sec et frais.","17,10 g",Attestation ENFANT.pdf (https://dl.airtable.com/.attachments/431b18d93c8cdddca6fcfecb8eecad3e/ebe0be97/AttestationENFANT.pdf),3 760293 911342,"mockup enfant 4md 30g.png (https://dl.airtable.com/.attachments/33685e5d60f70b34e920357b5997746f/8d77c76f/mockupenfant4md30g.png),mockup enfant 4md 30g dos.png (https://dl.airtable.com/.attachments/e105ce402c6cb4333beec136ca1bef1f/441bc67e/mockupenfant4md30gdos.png)",,Mockup800x800-Prescription-Nature-face-enfant.jpg (https://dl.airtable.com/.attachments/37f754803dc1062fee4cf778fac6013c/d3ac9151/Mockup800x800-Prescription-Nature-face-enfant.jpg),Fait,
EQUILIBRE 10MD,ESSENTIEL 10MD,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Probiotiques,Prescription biotic,30 gélules,mockup-biotic-equilibre-30g.png (https://dl.airtable.com/.attachments/2b6762f9f950031ee7447df21a6c6ce4/26338872/mockup-biotic-equilibre-30g.png),BIOTIC PRESCRIPTION ADV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/5d2d1c7ee8aec66c5337abc56ea2337d/59f535dd/BIOTICPRESCRIPTIONADVAOUT2021300DPI.pdf),EQUILIBRE 20_02.pdf (https://dl.airtable.com/.attachments/bf0e0f2213145e777a9f6bb1ea831909/052d6e71/EQUILIBRE20_02.pdf),1 gélule,NA,,"'- Bifidobactérium longum BL03
- Lactobacillus plantarum LP01
- Lactobacillus acidophilus LA02
- Bifidobactérium breve BR03
10x10^9 Cellules

1 cellule = 1 Unité Formant Colonie (UFC)",Agent de charge : Gomme d’acacia ; Gélule végétale : Pullulan ; Bifidobactérium longum BL03 ; Lactobacillus plantarum LP01 ; Lactobacillus acidophilus LA02 ; Bifidobactérium breve BR03 ; Anti- agglomérant : Extrait de riz.,1 gélule par jour avec un grand verre d'eau,"Ce produit est un complément alimentaire. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas être utilisé comme substitut d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver dans un endroit sec et frais.","17,40 g",Attestation EQUILIBRE PN.pdf (https://dl.airtable.com/.attachments/5610e7c2ac2322378d7aa83c45430035/0d9dae7a/AttestationEQUILIBREPN.pdf),3760293911359,"mockup equilibre 30g.png (https://dl.airtable.com/.attachments/53712f2d3a063ac47b1900e06c5dac03/05cc33df/mockupequilibre30g.png),mockup equilibre 30g dos.png (https://dl.airtable.com/.attachments/7dd2f465da28046e490c51de46c3959e/9044327f/mockupequilibre30gdos.png),mockup biotic equilibre 30g.png (https://dl.airtable.com/.attachments/fec7317fb19a57842f2915276fdfa2df/fa1fed1b/mockupbioticequilibre30g.png),mockup biotic equilibre 30g dos.png (https://dl.airtable.com/.attachments/edfc5d80b7304a7c0b0fd1d749d12c7c/433274f2/mockupbioticequilibre30gdos.png)",,Mockup800x800-Prescription-Nature-face-equilibre.jpg (https://dl.airtable.com/.attachments/39a22e3e37278d7804ca3080f937bed4/b728dd65/Mockup800x800-Prescription-Nature-face-equilibre.jpg),Fait,
ERECTA,ERECT,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Confort et prévention,Confort et prévention,30 gélules,mockup-erecta.png (https://dl.airtable.com/.attachments/a726fc8d74fbb87acfc3c72dadc3b4ab/552bd9d6/mockup-erecta.png),ERECTA ADV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/6e72a07f3cdb6896fc33b06ed2239766/b9ee527e/ERECTAADVAOUT2021300DPI.pdf),ERECTA30-20_1 V2.pdf (https://dl.airtable.com/.attachments/ea5acfc9490c232e615d30539ccd93ec/bf55026d/ERECTA30-20_1V2.pdf),4 gélules,,- Stimule la libido et améliore l'érection,"- L-Arginine : 500 mg
- Enostim™ : extraits de peau de pomme, de marc de raisin et de poudre de stigmates de safran : 300 mg
- Testofen® : extrait de graines de fenugrec : 300 mg
- L-Citrulline : 200 mg
- Extrait de parties aériennes de tribulus titré à 40 % de saponines : 200 mg
- Extrait de feuilles de ginkgo biloba titré à 24 % de ginkgoflavonoïdes et de 6% de terpènes : 100 mg
- Citrate de magnésium : 100 mg
dont magnésium élément : 15 mg 4%AR
- Picolinate de zinc : 10 mg
dont zinc élément : 2 mg 20%AR 
 ","L-Arginine ; Gélule végétale : Pullulan ; Enostim™ : extraits de peau de pomme (Malus pumila), de marc de raisin (Vitis vinifera) (sulfites) et de poudre de stigmates de safran (Crocus sativus) ; Testofen® : extrait de graines de fenugrec (Trigonella foenum-graecum) ; L-Citrulline ; Extrait de parties aériennes de tribulus (Tribulus terrestris) ; Citrate de magnésium ; Extrait de feuilles de ginkgo biloba (Ginkgo biloba) ; Anti-agglomérant : extrait de riz ; Picolinate de zinc.
",Prendre 4 gélules 1 heure avant le rapport sexuel,"Ce produit est un complément alimentaire à base d’extraits de plantes, minéraux et substances. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux adolescents de moins de 18 ans et aux personnes sous traitement anticoagulants, antidépresseurs, antidiabétiques et antihypertenseurs. Demander conseil à votre
médecin. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","16,30 G",Attestation ERECTA.pdf (https://dl.airtable.com/.attachments/0981bdafda002762b6a8cc9d4ceeec6f/38e4c3ed/AttestationERECTA.pdf),3770002638156,"mockup erecta.png (https://dl.airtable.com/.attachments/cd8dd482025b76e1dc90e87235c64890/c2b5edc5/mockuperecta.png),mockup erecta dos.png (https://dl.airtable.com/.attachments/d13170525445350ab2664d73e0c0ee74/8d829959/mockuperectados.png)",Mockup2-800x800-Prescription-Nature-face-erecta.jpg (https://dl.airtable.com/.attachments/96e4dad1f24e43f6a5d6e0059746f4ba/6a98ae76/Mockup2-800x800-Prescription-Nature-face-erecta.jpg),"Mockup2000x2000-amazon-face-erecta.jpg (https://dl.airtable.com/.attachments/7ac560e67061788a6e94f3b44696e09c/eb18aba8/Mockup2000x2000-amazon-face-erecta.jpg),Mockup2000x2000-amazon-back-erecta.jpg (https://dl.airtable.com/.attachments/98607aa47bfe4d0eaacc08b64dded6d9/48d745d3/Mockup2000x2000-amazon-back-erecta.jpg)",Fait,
ESCHOLTIZIA BIO,ESCHO45,PHARMA NATURE,PN-blanc.png (https://dl.airtable.com/.attachments/ad3b9142f3dbdffaa91204d99b3212ae/a662ecb5/PN-blanc.png),Bio,Vital organic,45 gélules,escholtzia45.png (https://dl.airtable.com/.attachments/28a0a4acadc8b9a4da165f0cdb9ade1b/569ae6b0/escholtzia45.png),VITAL ORGANIC AV AOUT2021 300DPI.pdf (https://dl.airtable.com/.attachments/6fa7ae38f997fcb36c873bc6964c6fb4/7d4b2f9b/VITALORGANICAVAOUT2021300DPI.pdf),,3 gélules,,"- aide à favoriser la relaxation et le bien-être mental et physique
- améliore la qualité du sommeil naturel.",- 900 mg d’extrait de parties aériennes d’escholtzia BIO.,Extrait de parties aériennes d’escholtzia BIO (Eschscholtzia californica) ; agent de charge : gomme d’acacia BIO ; gélule végétale : hydroxypropylméthylcellulose ; anti-agglomérant : extrait de riz BIO.  ,prendre 1 à 3 gélules par jour.,"ce produit est un complément alimentaire à base d’extraits de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 6 ans. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.","25,47",,3760293913711,escholtzia45.png (https://dl.airtable.com/.attachments/219c8f4960e9864a7e4f12c2562abf40/8bcc3005/escholtzia45.png),,,Fait,
